lead_time,avg_price_per_room,no_of_special_requests,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
25,187.0,2,7,26,4,2,0,2018,3,1
192,95.0,0,6,24,3,2,0,2018,1,1
70,128.7,2,4,4,4,2,1,2018,3,1
105,76.5,1,8,10,4,2,1,2017,2,1
1,88.0,0,3,30,2,1,0,2018,1,1
114,129.6,1,9,12,4,4,1,2018,2,1
32,126.0,2,4,20,4,2,0,2018,2,1
5,138.0,0,4,10,4,5,2,2018,1,0
4,174.67,1,9,13,4,3,0,2018,2,1
165,123.3,2,10,28,4,2,2,2018,3,0
0,140.0,0,10,15,4,1,0,2018,1,1
102,101.5,0,10,16,4,2,0,2017,2,0
92,70.0,0,10,7,3,4,0,2017,2,1
89,79.5,1,4,9,4,1,2,2018,2,1
148,67.0,0,12,30,3,4,1,2017,2,1
125,85.5,0,7,26,4,0,1,2017,2,0
59,159.3,2,5,28,4,5,2,2018,3,1
81,94.0,0,3,25,3,2,1,2018,3,1
108,94.5,1,5,2,4,2,1,2018,2,1
60,95.1,0,6,26,4,1,2,2018,2,0
247,115.0,1,6,6,3,1,1,2018,2,0
67,80.75,0,4,4,4,4,1,2018,2,0
26,232.33,0,9,19,4,2,1,2018,2,0
150,231.6,0,8,19,4,2,1,2018,2,0
104,114.0,1,10,6,3,2,0,2017,2,0
6,152.0,1,4,16,4,1,1,2018,3,1
4,87.0,1,1,8,4,2,0,2018,2,1
44,75.0,0,2,17,3,3,0,2018,2,1
18,61.15,0,3,3,4,5,2,2018,2,1
60,125.1,1,9,25,4,1,2,2018,2,0
122,85.0,0,4,15,3,2,0,2018,2,1
98,59.5,1,12,29,3,3,0,2017,2,1
21,110.0,1,10,26,4,2,0,2018,2,0
24,184.33,2,7,9,4,5,2,2018,3,1
320,115.0,1,8,18,3,2,0,2018,2,0
9,91.0,0,6,23,4,1,0,2018,2,0
44,95.4,0,9,21,4,1,1,2017,2,1
29,114.4,2,10,31,4,4,1,2018,2,0
147,178.59,0,10,24,4,5,2,2018,3,0
62,105.3,1,7,17,4,1,2,2018,2,1
33,90.52,1,10,29,4,2,2,2018,2,1
17,80.0,1,3,17,2,2,0,2018,2,1
265,115.0,1,6,24,3,2,0,2018,2,0
180,130.05,1,8,10,4,4,0,2018,3,0
161,59.5,0,10,31,3,3,1,2018,2,1
443,65.0,0,4,29,3,1,0,2018,2,0
418,75.0,0,9,26,3,2,1,2018,2,0
156,68.0,1,7,16,3,2,2,2018,1,1
33,79.35,1,10,1,4,2,0,2017,2,1
51,63.75,0,3,9,4,6,2,2018,2,0
178,100.3,0,6,4,4,3,2,2018,2,0
6,0.0,0,12,10,4,2,0,2017,1,1
74,101.5,0,9,18,3,2,0,2017,2,1
170,108.9,2,10,3,4,3,1,2018,2,0
0,0.0,3,5,25,1,1,0,2018,1,1
11,79.0,0,2,1,4,5,2,2018,2,0
57,110.36,2,10,15,4,3,2,2018,0,1
39,85.0,0,7,23,3,2,2,2018,2,1
20,97.0,1,12,18,4,0,2,2018,2,1
209,66.53,1,7,2,4,4,2,2018,2,1
62,105.0,2,11,12,4,2,2,2018,2,1
204,76.5,3,8,12,4,4,0,2017,2,1
142,94.11,0,7,4,4,5,2,2018,2,1
279,110.0,0,10,12,3,3,0,2018,2,0
145,142.2,1,7,23,4,1,1,2018,3,1
6,115.0,0,6,8,4,1,0,2018,1,1
10,164.0,1,9,5,4,2,1,2018,2,1
15,86.0,0,2,18,3,3,0,2018,1,1
273,95.0,0,5,13,4,2,1,2018,2,0
4,93.17,1,4,15,4,2,1,2018,2,1
22,139.0,1,9,15,4,2,0,2018,2,0
57,90.67,1,6,10,3,2,1,2018,2,1
80,86.0,0,9,26,3,2,1,2018,1,1
62,88.8,1,6,20,3,2,1,2018,2,1
6,97.02,2,10,11,4,1,2,2017,1,1
16,130.0,1,8,1,4,0,1,2018,2,1
8,196.0,2,9,18,4,0,2,2018,2,1
75,135.0,2,10,14,4,5,2,2018,2,0
13,159.0,0,10,10,2,2,1,2018,2,1
3,0.0,0,10,1,1,1,0,2017,1,1
236,84.43,1,9,27,4,4,0,2018,2,0
10,79.0,0,3,7,4,2,1,2018,2,0
157,92.65,0,12,8,3,3,0,2018,3,1
6,80.0,1,3,2,4,2,0,2018,1,1
0,113.0,1,10,19,4,1,1,2017,1,1
110,94.5,0,7,25,3,1,2,2017,2,0
377,115.0,1,10,14,3,2,0,2018,2,0
206,119.85,1,9,27,4,4,0,2018,2,0
106,106.75,2,7,29,4,5,2,2017,2,0
31,152.1,3,7,13,4,2,0,2018,2,1
233,90.0,0,10,14,3,2,1,2018,2,0
5,96.0,1,12,15,4,3,0,2018,2,1
14,149.33,1,6,3,4,2,1,2018,2,1
48,104.4,0,3,31,4,3,0,2018,2,1
87,141.3,0,6,26,4,3,2,2018,2,0
8,153.0,1,8,16,4,2,2,2017,2,1
271,0.0,0,9,21,4,3,0,2018,1,1
75,135.15,0,4,29,4,3,2,2018,2,0
162,112.0,1,7,14,3,3,0,2018,2,0
10,130.33,0,2,17,4,3,0,2018,3,0
261,106.25,0,11,15,4,4,0,2018,2,0
28,207.63,2,5,20,4,2,1,2018,1,1
13,87.78,1,10,25,4,3,0,2018,2,1
273,90.3,1,10,31,4,2,1,2018,2,1
40,75.6,0,10,19,3,3,1,2017,1,0
113,92.94,2,7,5,4,5,1,2018,2,1
101,80.0,0,10,13,3,3,0,2018,1,1
59,96.9,1,12,4,4,2,2,2018,2,1
47,85.5,0,10,18,3,3,0,2018,2,1
161,80.1,3,10,25,4,2,0,2018,2,1
86,83.3,0,10,29,4,2,2,2018,2,1
35,94.05,1,10,8,4,2,0,2017,1,1
77,79.2,2,12,6,4,2,0,2018,2,1
90,79.8,1,3,25,4,2,2,2018,2,1
4,0.0,2,12,5,1,1,0,2017,2,1
93,127.15,0,6,1,4,4,1,2018,2,1
61,91.6,0,12,8,4,2,0,2018,0,1
56,119.75,1,3,20,4,2,2,2018,2,1
13,130.0,2,2,6,4,1,2,2018,3,1
54,83.7,2,11,11,4,2,0,2018,2,1
3,161.33,2,9,15,4,3,0,2018,2,1
143,105.3,2,7,12,4,2,0,2018,2,1
69,102.1,1,5,30,4,3,1,2018,2,1
68,96.17,2,9,12,4,5,2,2017,2,1
141,94.5,1,7,14,4,3,0,2018,2,1
273,95.0,0,5,13,3,2,1,2018,2,0
28,115.37,1,8,28,4,4,2,2018,2,0
71,120.0,0,6,14,3,3,0,2018,1,1
9,127.67,0,3,28,4,5,1,2018,2,1
38,79.0,0,2,25,2,1,0,2018,1,0
60,81.08,1,7,20,4,1,0,2018,2,1
36,91.0,0,10,13,3,3,0,2017,1,1
95,84.6,2,11,20,4,0,2,2018,2,0
115,90.95,0,5,2,3,3,1,2018,2,1
10,135.5,1,10,5,4,3,1,2017,2,1
28,130.0,2,11,11,4,1,0,2018,1,1
61,91.0,0,10,4,3,0,2,2017,2,1
103,80.0,0,5,4,3,3,0,2018,2,1
11,75.0,1,8,7,4,1,0,2017,2,1
8,89.25,1,5,25,4,1,0,2018,1,1
71,120.0,0,6,14,3,3,0,2018,1,1
19,146.0,2,7,20,4,1,0,2018,3,1
110,114.3,1,7,8,4,2,1,2018,2,1
18,118.0,0,9,4,4,0,1,2018,2,0
245,80.75,0,9,28,3,4,0,2018,2,1
205,116.1,0,9,15,4,1,0,2018,2,0
48,107.1,1,4,4,4,1,1,2018,1,0
4,168.5,2,6,16,4,3,2,2018,2,1
160,125.8,0,7,2,4,4,2,2018,3,0
10,72.1,0,2,19,3,1,0,2018,1,1
77,72.25,0,4,2,4,2,2,2018,1,1
221,65.0,0,10,17,3,1,2,2017,2,1
80,151.2,0,10,21,4,2,2,2018,3,1
121,90.0,0,6,24,3,2,1,2018,2,0
290,72.0,0,6,17,3,2,1,2018,2,1
100,210.6,2,5,15,4,0,2,2018,3,0
188,168.3,2,7,16,4,1,2,2018,2,0
7,161.33,2,10,9,4,2,1,2017,2,1
111,87.0,0,2,14,4,3,2,2018,2,1
136,90.9,0,8,26,4,2,0,2018,1,1
176,125.1,0,9,8,3,3,0,2018,2,0
166,110.0,0,11,1,3,3,0,2018,1,0
92,85.5,0,8,17,4,1,1,2017,2,1
433,70.0,0,9,8,3,3,0,2018,2,0
121,43.5,0,3,19,3,2,2,2018,2,1
6,43.5,1,12,25,3,2,2,2017,2,1
1,116.27,1,7,12,4,3,0,2018,2,1
1,77.77,1,4,16,4,1,1,2018,2,1
121,123.3,1,5,16,4,2,1,2018,2,1
2,194.0,3,9,22,4,1,0,2018,1,1
142,148.0,1,6,29,3,3,0,2018,3,1
8,156.5,4,9,1,3,3,0,2017,3,1
15,164.0,0,9,28,4,1,0,2018,2,1
71,112.5,0,6,30,4,1,0,2018,1,0
14,127.0,0,5,23,4,2,1,2018,1,0
5,89.0,0,6,22,2,1,0,2018,1,1
13,169.0,0,4,28,4,1,0,2018,2,0
25,65.0,0,11,22,3,3,2,2017,2,1
137,146.1,2,12,24,4,3,2,2018,2,1
14,160.0,0,10,22,4,1,0,2018,2,0
180,120.0,0,10,10,3,2,1,2018,1,0
27,74.33,1,12,4,4,2,1,2017,2,1
118,110.0,0,6,6,3,3,1,2018,1,1
26,65.0,0,10,21,2,1,0,2017,1,1
41,103.05,0,10,1,4,2,0,2017,2,1
4,86.0,0,2,9,4,1,0,2018,1,1
6,0.0,0,12,10,4,1,0,2017,1,1
322,52.0,0,12,9,3,2,0,2018,2,1
101,144.45,2,11,11,4,2,0,2018,2,1
16,105.25,1,12,5,4,1,1,2017,2,1
33,95.0,0,1,25,2,1,1,2018,3,1
132,90.95,0,6,10,3,3,2,2018,2,1
36,102.6,2,10,17,4,1,0,2017,1,1
134,105.7,2,5,26,4,3,1,2018,3,1
15,86.0,0,2,18,3,3,0,2018,1,1
61,120.7,1,11,21,4,3,1,2018,2,1
95,58.0,1,3,11,3,2,1,2018,2,1
145,90.95,1,6,30,4,3,1,2018,2,1
14,118.0,0,8,30,4,2,0,2018,2,0
145,65.0,0,1,3,3,1,2,2018,2,1
1,125.0,1,3,30,4,1,0,2018,2,1
231,90.95,1,8,21,4,2,2,2018,2,1
13,102.33,2,9,7,4,2,1,2017,2,1
125,79.2,0,11,17,4,3,0,2018,2,0
18,107.0,0,12,6,4,0,2,2017,2,1
39,101.5,0,8,14,3,2,0,2017,2,1
74,101.5,0,9,18,3,2,0,2017,2,1
1,202.0,0,12,10,4,1,0,2018,2,1
120,131.33,0,12,23,4,5,2,2018,2,1
305,89.0,0,11,4,4,2,1,2018,2,0
32,65.55,0,12,27,4,2,2,2017,2,1
71,93.08,1,6,17,3,2,2,2018,2,1
102,109.0,0,10,16,3,2,0,2017,2,1
28,97.63,1,4,17,4,1,2,2018,2,0
5,100.0,0,9,20,2,0,2,2017,2,1
41,249.63,1,10,15,4,5,2,2018,2,1
12,87.0,1,1,8,4,2,1,2018,2,1
83,159.3,2,8,8,4,2,1,2018,3,1
59,80.0,0,1,28,3,1,0,2018,1,1
30,97.92,1,10,5,4,4,1,2017,2,0
212,78.0,1,5,20,3,3,2,2018,2,1
125,128.69,1,6,17,4,3,2,2018,2,1
92,65.0,0,10,7,3,4,0,2017,1,1
13,85.0,1,3,20,3,0,1,2018,2,1
16,117.0,2,10,1,4,2,0,2017,2,1
138,47.25,0,8,22,3,1,2,2017,2,1
37,105.0,0,10,13,3,3,0,2018,2,1
55,80.0,0,4,6,3,1,0,2018,2,1
92,90.0,0,11,11,3,1,0,2018,2,1
91,85.5,0,4,25,4,2,1,2018,2,0
73,149.4,1,6,16,4,3,0,2018,1,1
13,123.67,2,9,30,3,3,0,2017,2,1
68,118.8,1,4,26,4,2,0,2018,1,1
1,168.0,2,6,18,4,1,0,2018,2,1
41,89.0,0,5,24,2,1,0,2018,1,0
12,72.0,0,10,4,3,0,1,2017,2,1
46,107.1,0,4,4,4,1,1,2018,2,0
148,127.8,0,8,21,4,2,2,2018,2,1
19,89.0,0,9,12,4,0,1,2018,2,1
4,147.0,0,7,19,2,3,0,2018,1,1
58,116.1,0,5,17,4,3,0,2018,2,0
53,117.9,1,6,19,4,1,2,2018,2,1
74,101.5,0,9,18,3,2,0,2017,2,1
3,75.0,0,5,2,2,0,1,2018,2,1
117,99.45,1,5,13,4,2,2,2018,2,1
50,159.6,0,8,22,4,6,3,2018,3,0
9,95.0,2,9,10,4,1,0,2017,1,1
0,135.0,1,12,31,4,2,0,2017,2,1
119,101.0,0,3,29,3,2,0,2018,2,1
11,136.0,0,10,23,4,1,0,2017,2,1
31,111.6,1,10,2,4,1,0,2017,2,0
2,148.37,2,3,28,4,2,1,2018,3,1
23,188.0,2,12,30,4,1,0,2018,3,1
44,75.0,0,2,17,3,3,0,2018,2,1
181,120.0,0,10,11,3,2,0,2018,1,0
155,161.1,0,9,1,4,3,2,2018,2,0
41,87.09,1,4,22,4,5,2,2018,2,1
0,0.0,0,5,31,1,1,0,2018,1,1
79,87.3,0,3,4,4,2,0,2018,2,0
267,115.2,0,10,1,4,1,1,2018,2,0
256,90.0,0,6,15,3,2,0,2018,1,1
16,152.67,1,6,2,4,3,0,2018,2,1
14,210.0,1,9,1,4,3,1,2018,2,1
25,65.0,0,11,22,3,3,2,2017,2,1
4,75.0,1,11,13,2,0,2,2018,1,1
28,156.0,2,5,20,4,1,0,2018,2,1
99,81.0,0,2,19,2,1,0,2018,1,1
263,110.0,0,10,21,3,2,0,2018,2,0
33,141.3,2,6,27,4,1,1,2018,3,1
10,85.0,1,9,5,3,1,0,2017,2,1
22,73.15,0,9,4,4,3,2,2017,1,1
1,95.0,0,5,25,0,1,0,2018,1,0
55,113.4,1,11,11,4,2,0,2018,2,0
247,115.0,1,6,6,3,1,1,2018,2,0
145,94.5,0,8,29,3,1,2,2017,2,1
11,86.0,0,12,19,4,2,1,2018,1,1
22,65.75,0,1,9,4,1,2,2018,2,1
56,120.0,0,6,8,3,1,0,2018,2,1
98,50.33,0,2,25,3,4,2,2018,2,1
29,212.0,2,9,24,4,2,0,2017,2,1
159,70.5,0,12,29,3,4,0,2017,2,1
1,75.0,1,6,17,3,2,1,2018,2,1
116,111.92,1,5,12,4,3,2,2018,2,1
61,89.75,1,4,30,3,1,1,2018,2,1
204,100.0,0,5,5,4,3,0,2018,2,0
6,58.0,0,12,6,3,2,2,2017,2,1
0,79.0,0,7,5,2,1,0,2018,1,1
164,100.0,0,10,2,3,2,0,2017,1,1
9,111.0,0,11,25,4,1,0,2018,2,1
46,112.5,0,3,18,4,2,0,2018,2,0
68,116.1,0,5,10,4,3,0,2018,2,0
265,115.0,1,6,24,3,2,0,2018,2,0
0,89.0,0,7,29,4,1,0,2018,1,1
11,91.5,0,12,2,4,2,0,2018,2,1
24,96.0,0,2,3,4,3,0,2018,2,0
265,115.0,1,6,24,4,2,0,2018,2,0
12,100.87,0,5,30,4,2,1,2018,2,0
84,117.9,1,8,15,4,0,1,2018,2,1
6,79.0,0,2,26,4,2,0,2018,2,0
10,91.0,1,6,23,4,1,0,2018,2,1
73,107.95,1,4,7,4,3,1,2018,2,1
39,77.5,1,3,4,4,2,0,2018,1,1
14,85.0,0,7,23,3,4,2,2018,2,1
80,108.0,0,10,9,3,2,0,2017,1,1
99,65.0,0,10,30,3,2,2,2017,2,0
196,99.45,0,8,22,4,5,1,2018,2,0
60,99.9,1,6,21,4,3,0,2018,2,1
139,98.87,1,8,23,4,5,2,2018,2,1
0,106.0,2,8,19,4,1,0,2017,2,1
45,147.6,0,11,7,4,2,1,2018,2,1
114,128.7,0,8,27,4,1,0,2018,2,0
166,110.0,0,11,1,3,3,0,2018,1,0
32,73.0,0,11,20,3,2,0,2017,1,1
172,95.0,0,6,24,4,2,0,2018,1,0
13,169.5,2,5,5,4,3,1,2018,3,1
147,89.75,2,9,16,3,2,1,2018,2,1
108,153.9,0,5,27,3,2,2,2018,1,1
51,75.0,0,11,9,3,3,0,2018,2,1
53,109.1,0,6,21,4,2,0,2018,2,1
57,228.6,2,9,26,4,1,1,2018,3,1
193,108.9,1,9,3,4,1,0,2018,2,0
152,140.7,2,8,4,4,3,0,2018,3,0
69,95.85,2,10,30,4,2,2,2018,2,1
150,101.0,0,1,2,3,1,2,2018,2,1
0,105.0,0,11,25,3,2,2,2018,2,0
12,93.0,2,2,7,4,0,1,2018,2,1
189,112.5,1,7,10,4,0,2,2018,2,0
28,147.0,2,6,21,4,1,0,2018,3,1
195,108.9,2,10,2,4,1,2,2018,2,0
240,159.3,0,9,30,4,2,0,2018,3,0
40,117.9,1,6,30,4,3,2,2018,2,1
303,78.0,0,8,19,3,3,2,2018,2,0
157,76.5,1,8,14,4,1,0,2017,2,1
46,125.1,2,8,17,4,1,0,2018,2,1
54,80.3,0,2,26,4,2,0,2018,2,1
76,120.0,0,10,10,3,0,1,2018,1,0
233,90.0,0,10,14,3,2,1,2018,2,0
162,35.0,0,9,17,3,3,0,2017,2,1
359,70.0,0,10,14,3,3,2,2018,1,1
245,75.0,0,6,17,3,2,0,2018,2,0
16,111.35,2,5,29,4,2,2,2018,2,1
3,106.0,3,8,20,4,1,0,2017,2,1
88,90.6,0,10,5,3,1,1,2017,1,1
22,102.88,0,12,4,4,2,2,2017,2,1
133,118.15,0,5,27,4,2,2,2018,2,0
71,151.2,2,10,16,4,0,1,2018,3,1
207,161.67,0,12,30,3,2,1,2018,2,1
443,60.0,0,4,29,3,1,0,2018,1,0
1,60.0,0,2,28,3,1,2,2018,1,0
42,75.56,0,2,18,4,3,2,2018,2,0
57,119.85,1,5,11,4,4,1,2018,2,1
192,164.63,0,10,28,4,3,2,2018,2,0
64,46.4,0,3,12,3,3,2,2018,2,1
71,150.98,3,9,1,4,6,2,2018,2,1
26,172.0,2,3,26,4,2,2,2018,3,1
4,249.0,1,9,8,4,3,0,2018,2,1
13,85.0,1,3,20,3,0,1,2018,2,1
39,192.95,0,12,28,4,4,0,2018,2,1
9,123.33,0,6,12,4,1,2,2018,2,0
9,124.0,1,5,18,4,1,0,2018,1,1
179,77.56,1,8,31,4,3,1,2017,1,1
106,118.8,1,10,7,4,2,1,2018,2,0
74,101.5,0,9,18,3,2,0,2017,2,1
103,115.0,0,4,19,3,2,0,2018,1,0
54,88.4,1,11,17,4,3,2,2018,2,0
168,99.87,1,8,20,4,2,2,2018,2,1
64,89.3,1,3,10,4,3,0,2018,2,1
34,117.0,2,9,25,4,1,2,2018,2,1
8,59.16,0,1,8,4,3,2,2018,2,1
4,110.0,0,9,11,0,1,2,2018,1,1
0,114.0,0,3,28,4,4,1,2018,2,1
48,149.4,1,8,24,4,4,0,2018,1,1
55,74.88,0,11,23,4,1,0,2018,2,1
67,72.25,0,7,23,3,1,1,2018,2,1
6,121.0,1,11,16,4,1,0,2018,2,1
1,115.0,0,8,4,4,1,0,2018,1,1
250,95.0,0,9,26,3,3,1,2018,2,0
57,85.85,1,3,30,4,4,0,2018,2,1
21,67.0,0,11,21,2,0,1,2018,1,1
1,87.0,1,12,12,4,1,1,2018,1,1
80,173.19,0,4,24,4,2,2,2018,2,0
40,85.5,2,9,13,4,3,2,2017,1,1
8,159.5,0,8,13,4,1,1,2018,2,1
78,116.1,1,5,7,4,1,0,2018,2,1
3,118.58,1,10,10,4,0,1,2018,1,1
39,98.94,2,2,8,3,1,1,2018,3,1
50,74.8,1,11,20,4,5,2,2018,2,0
21,86.0,1,3,5,4,1,1,2018,2,1
126,103.5,0,5,7,4,1,0,2018,2,0
42,72.76,0,4,26,3,3,0,2018,2,1
103,149.4,0,9,8,4,3,0,2018,2,0
60,65.0,1,10,12,3,3,1,2017,2,1
433,70.0,0,9,8,4,3,0,2018,2,0
279,110.0,0,10,12,3,3,0,2018,2,0
37,105.3,2,10,22,4,2,0,2017,2,1
0,80.0,0,2,19,2,1,0,2018,1,1
202,90.0,0,5,29,4,1,2,2018,2,0
231,96.9,2,8,23,3,5,2,2018,3,1
164,100.0,0,10,2,3,2,0,2017,1,1
247,90.0,0,6,6,3,1,1,2018,1,1
18,140.9,1,6,2,4,3,1,2018,2,1
39,74.8,2,12,27,4,1,0,2018,2,1
292,115.0,0,7,21,3,2,0,2018,2,0
138,138.5,1,8,22,3,1,2,2017,3,1
3,110.21,0,5,2,3,2,1,2018,2,1
1,109.0,0,2,9,4,1,0,2018,2,1
53,75.6,1,4,2,4,1,0,2018,1,1
112,90.0,0,6,2,3,1,0,2018,1,1
22,87.78,2,10,21,4,3,0,2017,2,1
12,131.0,0,4,25,4,0,1,2018,2,0
54,85.5,2,9,15,4,1,0,2017,1,1
131,94.5,0,8,15,3,1,2,2017,2,1
38,108.11,0,5,23,4,3,1,2018,1,0
56,177.3,2,7,19,4,2,0,2018,2,1
66,126.9,1,6,9,4,3,1,2018,2,1
202,109.8,0,10,22,4,1,2,2018,2,0
156,112.2,0,8,20,4,2,2,2018,2,0
75,80.75,0,6,26,3,1,2,2018,2,1
265,115.0,1,6,24,3,2,0,2018,2,0
85,94.5,0,7,17,4,2,2,2018,2,0
59,177.93,0,4,26,4,5,1,2018,2,0
10,89.3,0,1,14,4,1,0,2018,2,1
76,207.9,1,9,4,4,0,2,2018,3,0
140,89.75,0,4,16,3,5,2,2018,2,1
26,170.0,3,11,11,4,1,0,2018,2,1
273,109.0,0,7,17,3,2,0,2017,2,0
77,89.25,0,9,18,4,2,2,2017,2,1
180,70.0,0,10,16,3,1,0,2017,2,0
29,67.5,1,11,16,3,3,0,2018,1,1
45,94.5,2,10,22,4,3,0,2017,2,1
49,94.5,1,10,23,4,6,2,2017,2,1
25,105.0,1,9,5,4,1,0,2017,2,0
71,120.0,0,6,14,3,3,0,2018,1,1
15,165.0,1,9,1,4,5,0,2017,2,0
129,127.8,1,8,11,4,3,2,2018,2,1
5,137.67,0,6,2,4,3,0,2018,2,0
44,60.0,1,11,11,3,3,0,2017,2,1
127,146.92,1,10,2,4,3,2,2018,3,1
43,86.61,0,2,17,4,3,0,2018,1,0
11,95.0,0,10,11,2,1,2,2017,1,1
186,96.9,1,7,22,3,2,2,2018,3,1
37,94.5,0,9,16,4,2,0,2017,2,1
41,65.0,0,12,27,3,1,0,2018,2,1
99,135.9,1,5,19,4,1,0,2018,2,0
7,112.0,0,5,5,3,3,0,2018,1,1
49,159.3,2,5,7,4,1,1,2018,3,1
156,128.7,1,8,28,4,2,2,2018,3,0
0,66.0,0,1,6,2,1,0,2018,1,1
51,99.0,1,9,5,4,0,1,2018,2,1
14,109.0,1,8,17,4,1,0,2018,2,0
0,131.0,0,4,30,4,1,0,2018,2,1
23,109.0,1,1,2,3,1,2,2018,2,1
107,130.0,1,6,10,3,2,0,2018,2,1
70,72.9,1,2,26,4,2,0,2018,1,0
12,134.1,1,9,23,4,2,1,2018,2,1
172,70.85,1,7,22,4,6,2,2018,2,1
60,75.48,0,6,21,3,3,0,2018,2,1
69,135.9,1,5,10,4,1,0,2018,2,1
28,130.0,0,10,29,3,1,0,2017,1,1
95,120.0,0,6,14,3,3,0,2018,1,0
199,106.0,0,9,12,2,2,1,2018,1,0
51,123.3,0,3,30,4,3,0,2018,3,1
14,80.09,0,1,20,4,14,5,2018,1,1
160,138.55,0,8,8,4,5,2,2018,3,0
19,111.4,0,4,11,4,4,1,2018,2,0
65,87.0,0,12,18,2,0,1,2018,2,1
17,124.0,2,9,17,4,2,0,2017,2,1
11,95.0,0,5,9,0,10,5,2018,1,0
192,95.0,0,6,24,3,2,0,2018,1,1
102,101.5,0,10,16,3,2,0,2017,2,0
1,114.0,1,10,14,4,1,0,2017,1,1
17,198.9,1,5,13,4,2,0,2018,1,0
6,127.0,0,9,11,4,2,1,2017,2,0
118,120.0,0,6,6,3,2,1,2018,2,1
113,96.3,1,4,15,4,2,0,2018,2,1
71,86.25,1,6,28,4,3,0,2018,2,1
97,76.5,0,8,11,4,2,0,2017,2,0
210,72.75,0,10,8,3,3,1,2017,2,1
107,76.5,1,8,21,4,2,1,2017,2,0
0,121.0,2,7,29,4,1,0,2018,2,1
104,123.3,2,7,21,4,3,1,2018,2,1
63,85.0,1,11,12,4,3,1,2017,2,1
5,75.0,0,8,12,3,1,0,2017,2,1
14,132.0,0,4,4,4,10,4,2018,1,0
34,120.7,2,12,3,4,6,2,2018,2,1
17,70.0,1,3,17,2,2,0,2018,1,1
179,150.45,2,9,8,4,3,0,2018,3,0
315,52.0,0,12,2,3,2,0,2018,2,1
49,76.5,0,9,2,3,3,0,2017,2,1
166,110.0,0,11,1,3,3,0,2018,1,0
57,66.53,1,9,19,4,3,2,2017,2,1
129,62.0,0,2,4,3,3,0,2018,2,1
1,139.0,0,8,20,4,1,1,2018,2,1
14,87.0,0,2,24,3,3,0,2018,2,1
7,296.0,2,5,19,4,2,0,2018,2,1
3,110.0,0,10,23,0,1,2,2018,1,1
186,111.76,1,7,28,4,3,2,2018,2,0
279,110.0,0,10,12,3,3,0,2018,2,0
126,77.03,1,7,25,4,2,1,2018,2,1
12,202.88,1,10,29,4,2,2,2018,2,0
5,90.0,0,10,19,3,2,1,2017,2,1
81,85.5,0,4,10,4,0,2,2018,2,0
0,65.0,0,10,27,2,2,0,2017,1,1
141,109.8,1,6,30,4,3,0,2018,2,0
8,130.0,0,11,5,3,1,0,2018,2,1
43,152.1,0,8,22,4,4,1,2018,2,1
91,198.9,0,5,13,4,2,1,2018,2,0
10,107.0,0,5,21,3,1,1,2018,2,1
23,89.0,0,4,8,4,1,0,2018,1,1
1,60.0,0,2,28,3,1,2,2018,1,0
121,103.5,1,7,7,4,3,2,2018,2,1
213,109.66,0,8,13,4,5,2,2018,2,0
74,127.8,0,7,9,4,1,0,2018,2,0
0,0.0,0,9,1,1,1,0,2017,2,1
193,95.2,0,8,26,4,2,2,2018,2,0
1,127.0,1,6,27,4,0,1,2018,2,1
58,80.67,1,1,27,3,3,0,2018,1,1
133,151.2,3,10,10,4,0,1,2018,3,1
79,139.5,0,7,11,4,4,1,2018,3,1
27,97.92,1,10,13,4,4,0,2017,3,1
298,76.0,0,5,10,3,2,0,2018,1,1
204,133.2,0,12,31,4,1,1,2018,3,1
45,112.8,1,4,17,4,1,2,2018,2,0
250,95.0,0,9,26,4,3,1,2018,2,0
20,93.17,1,6,14,4,2,0,2018,1,1
150,90.0,1,6,16,3,3,0,2018,2,1
203,95.4,1,6,6,4,1,1,2018,2,1
50,52.0,1,1,14,3,3,0,2018,2,1
79,88.4,1,12,7,4,4,0,2018,2,1
36,55.09,1,12,10,4,2,0,2017,3,1
67,79.2,2,11,12,4,1,2,2018,2,1
55,93.6,1,11,25,4,1,0,2018,2,1
185,103.5,0,12,16,4,2,1,2018,2,1
0,139.0,0,6,7,4,1,0,2018,2,0
51,75.0,1,11,12,3,2,2,2018,2,1
96,60.0,0,3,6,3,3,2,2018,2,1
35,121.28,1,9,25,4,2,2,2018,2,1
54,159.3,0,6,4,4,1,0,2018,2,0
86,105.0,0,9,24,3,2,0,2017,2,1
180,51.28,2,11,13,4,0,1,2018,1,1
2,85.03,1,2,11,4,3,0,2018,2,0
155,96.3,1,6,26,4,1,2,2018,2,1
4,97.0,2,1,2,4,1,1,2018,1,1
12,110.0,2,9,12,3,13,5,2018,2,0
2,65.0,0,7,29,2,1,0,2017,1,1
24,72.8,0,2,22,3,2,1,2018,2,0
37,134.1,1,6,17,3,2,0,2018,2,1
20,100.1,1,11,6,4,0,1,2018,1,1
63,68.85,0,7,8,4,8,2,2017,2,0
192,110.0,0,6,24,3,2,0,2018,2,0
204,100.0,0,5,5,4,3,0,2018,2,0
1,149.0,0,5,23,4,0,1,2018,2,1
130,96.9,0,7,26,3,3,0,2018,3,1
213,127.5,1,8,26,3,2,1,2018,2,0
146,123.3,1,8,11,4,2,0,2018,2,1
6,89.0,0,11,4,4,1,0,2017,2,1
